gene,S1,S2,S3,S4,S5,S6
Gene72,72,83,73,76,76,82
Gene73,163,156,168,149,172,175
Gene74,166,147,180,184,184,162
Gene75,143,102,126,127,125,136
Gene76,55,59,56,62,63,57
Gene77,108,118,101,107,119,110
Gene78,78,71,86,86,80,93
Gene79,13,4,12,11,18,18
Gene80,66,83,73,76,58,59
Gene81,169,194,183,166,166,177
Gene82,103,108,105,101,106,90
Gene83,32,42,51,43,51,22
Gene84,327,278,322,288,320,272
Gene85,12,6,8,10,8,10
Gene86,123,132,127,158,113,124
Gene87,136,152,176,157,158,151
Gene88,94,92,84,97,74,84
Gene89,23,21,20,21,26,18
Gene90,26,26,26,22,24,19
Gene91,110,119,99,89,122,126
Gene92,143,140,135,142,155,148
Gene93,29,30,30,25,32,28
Gene94,63,63,62,73,58,70
Gene95,128,121,134,116,122,117
Gene96,53,48,54,46,44,55
Gene97,45,42,53,46,55,48
Gene98,93,112,78,86,89,85
Gene99,97,102,86,102,77,95
Gene100,240,270,243,242,259,257
Gene101,78,69,65,82,88,73
Gene102,58,65,68,57,70,68
Gene103,43,34,31,31,32,30
Gene104,74,83,87,81,83,79
Gene105,81,64,73,68,77,86
Gene106,68,60,89,70,84,73
Gene107,46,69,44,59,55,46
Gene108,118,97,101,121,132,89
Gene109,182,182,173,185,164,184
Gene110,45,64,50,53,54,58
Gene111,106,106,83,102,119,104
Gene112,177,238,198,210,204,229
Gene113,88,84,84,86,56,88
Gene114,192,181,209,202,202,200
Gene115,38,48,47,51,43,42
Gene116,76,72,57,77,72,70
Gene117,70,61,61,66,85,67
Gene118,69,71,102,89,79,87
Gene119,152,176,129,161,163,165
Gene120,49,39,63,65,65,50
Gene121,30,32,40,43,33,41
Gene122,193,187,200,192,179,191
Gene123,126,135,150,160,145,171
Gene124,18,16,17,17,11,10
Gene125,117,113,117,123,101,136
Gene126,204,205,202,210,210,188
Gene127,94,84,96,80,95,82
Gene128,73,49,61,43,43,52
Gene129,119,131,126,145,123,142
Gene130,118,122,122,120,102,117
Gene131,37,52,42,32,53,47
Gene132,61,41,60,49,56,45
Gene133,56,50,54,63,57,52
Gene134,54,60,53,45,47,47
Gene135,11,10,15,5,12,8
Gene136,14,8,15,19,10,10
Gene137,60,58,68,72,80,80
Gene138,118,131,119,120,143,95
Gene139,24,29,37,30,29,35
Gene140,110,116,116,127,114,128
Gene141,73,88,83,87,82,77
Gene142,69,59,58,66,65,62
Gene143,171,166,160,176,147,186
Gene144,261,282,266,289,263,257
Gene145,74,88,93,91,85,75
Gene146,102,105,93,105,112,119
Gene147,75,67,79,57,84,67
Gene148,188,176,166,155,138,168
Gene149,79,76,76,77,66,72
Gene150,22,28,30,21,23,28
Gene151,18,24,14,17,22,24
Gene152,59,44,37,60,57,47
Gene153,24,18,32,33,36,25
Gene154,47,33,42,50,43,50
Gene155,48,52,61,49,46,43
Gene156,42,50,34,53,40,32
Gene157,102,98,103,109,103,101
Gene158,38,36,42,37,36,30
Gene159,29,23,31,29,32,26
Gene160,16,16,16,12,11,13
Gene161,180,199,170,180,185,191
Gene162,64,63,65,72,71,65
Gene163,94,87,113,101,93,98
Gene164,105,103,99,102,115,109
Gene165,17,18,19,25,23,20
Gene166,89,89,92,74,75,88
Gene167,76,70,68,71,70,75
Gene168,26,27,16,22,15,22
Gene169,51,67,51,55,45,49
Gene170,103,112,104,142,109,122
Gene171,118,153,139,130,131,145
Gene172,403,390,366,402,392,414
Gene173,285,302,287,275,291,295
Gene174,62,80,86,79,79,79
Gene175,72,81,89,83,111,87
Gene176,70,65,69,79,83,84
Gene177,43,38,33,33,39,36
Gene178,128,131,125,122,124,136
Gene179,173,161,167,154,162,171
Gene180,39,58,45,40,49,54
Gene181,48,45,38,43,48,49
Gene182,65,48,49,71,58,47
Gene183,3,5,10,3,4,4
Gene184,70,93,76,89,81,92
Gene185,265,265,274,256,287,259
Gene186,77,86,81,95,88,88
Gene187,35,30,21,35,25,30
Gene188,86,96,90,73,82,79
Gene189,130,117,137,126,144,115
Gene190,68,55,64,73,69,54
Gene191,39,34,37,34,53,49
Gene192,74,79,60,78,83,77
Gene193,87,71,83,72,80,64
Gene194,93,94,92,98,89,105
Gene195,137,163,149,156,142,142
Gene196,41,27,40,32,53,34
Gene197,56,73,58,78,61,67
Gene198,96,66,88,88,70,95
Gene199,141,119,131,96,126,112
Gene200,89,68,70,100,80,78
Gene201,142,140,148,139,140,150
Gene202,89,85,97,97,102,97
Gene203,10,21,16,16,14,15
Gene204,195,220,206,195,219,190
Gene205,47,43,48,50,38,47
Gene206,144,158,154,174,161,152
Gene207,218,211,188,189,194,217
Gene208,31,37,34,35,45,45
Gene209,15,30,14,22,17,17
Gene210,61,61,62,64,52,63
Gene211,43,53,49,38,62,59
Gene212,112,113,120,132,119,117
Gene213,2,4,2,0,1,5
Gene214,105,119,112,97,105,96
Gene215,46,38,55,37,42,37
Gene216,19,18,22,20,23,31
Gene217,83,99,79,75,87,82
Gene218,48,35,55,51,49,51
Gene219,169,146,162,162,150,158
Gene220,108,115,124,129,115,114
Gene221,35,42,39,43,32,38
Gene222,91,115,110,93,118,106
Gene223,45,55,72,52,51,60
Gene224,329,324,341,299,341,289
Gene225,32,43,33,35,47,50
Gene226,122,153,136,146,129,140
Gene227,136,119,125,120,112,110
Gene228,52,50,46,57,61,59
Gene229,37,44,32,31,32,44
Gene230,60,70,67,78,71,94
Gene231,45,41,42,47,53,54
Gene232,290,265,283,248,256,311
Gene233,2,1,3,4,2,0
Gene234,92,88,93,81,73,76
Gene235,55,61,61,74,61,61
Gene236,133,143,154,129,121,149
Gene237,180,171,180,195,172,144
Gene238,98,77,85,86,98,94
Gene239,64,68,55,61,73,65
Gene240,46,53,43,43,40,54
Gene241,102,84,101,102,88,98
Gene242,170,183,196,179,200,184
Gene243,30,21,31,29,31,25
Gene244,148,169,176,175,166,182
Gene245,159,160,157,152,163,160
Gene246,52,57,64,62,69,56
Gene247,72,55,47,59,54,58
Gene248,70,59,65,83,72,70
Gene249,81,91,76,94,82,97
Gene250,47,47,55,56,49,51
Gene251,150,152,151,130,128,152
Gene252,19,15,26,26,20,21
Gene253,133,130,158,132,167,156
Gene254,23,22,20,30,20,22
Gene255,95,99,94,94,95,86
Gene256,202,220,222,245,221,252
Gene257,13,11,8,16,9,10
Gene258,53,46,46,27,46,42
Gene259,127,110,154,138,101,97
Gene260,21,14,18,26,26,22
Gene261,115,105,96,92,104,123
Gene262,38,44,27,36,22,41
Gene263,11,14,18,17,11,11
Gene264,261,222,227,248,229,235
Gene265,70,63,88,63,66,69
Gene266,28,27,32,29,31,31
Gene267,78,55,70,56,63,65
Gene268,46,46,48,50,33,53
Gene269,46,45,43,36,45,45
Gene270,220,214,211,196,221,220
Gene271,54,63,71,56,58,49
Gene272,156,130,134,123,127,115
Gene273,97,70,97,92,105,104
Gene274,90,99,81,103,104,90
Gene275,23,28,27,27,38,22
Gene276,35,30,29,33,35,30
Gene277,71,61,72,72,57,62
Gene278,154,146,192,161,137,174
Gene279,12,13,15,7,8,8
Gene280,96,117,106,107,126,99
Gene281,118,127,107,122,109,114
Gene282,67,58,89,83,80,58
Gene283,82,78,87,98,88,94
Gene284,49,41,39,46,37,51
Gene285,139,129,114,112,137,126
Gene286,8,16,14,14,15,7
Gene287,179,170,189,165,143,161
Gene288,48,44,46,47,56,51
Gene289,381,380,358,367,363,404
Gene290,111,106,130,114,112,109
Gene291,150,136,150,187,165,196
Gene292,126,126,129,121,137,141
Gene293,86,81,78,85,100,106
Gene294,204,201,187,211,228,202
Gene295,129,127,132,132,138,133
Gene296,207,202,178,167,218,173
Gene297,71,84,73,70,84,80
Gene298,50,63,47,58,46,61
Gene299,200,201,204,173,204,197
Gene300,116,84,108,99,108,104
Gene301,250,254,262,223,238,230
Gene302,134,137,111,112,111,133
Gene303,55,61,71,54,58,53
Gene304,145,115,141,148,128,146
Gene305,134,124,136,125,124,133
Gene306,98,88,108,107,100,109
Gene307,75,90,102,91,89,74
Gene308,43,37,29,28,34,28
Gene309,136,126,124,103,153,118
Gene310,24,26,24,19,36,24
Gene311,56,56,68,83,69,52
Gene312,251,235,232,244,240,249
Gene313,75,70,55,76,83,68
Gene314,154,180,173,156,157,150
Gene315,59,65,62,64,56,54
Gene316,73,76,68,65,84,82
Gene317,62,90,79,72,79,84
Gene318,123,142,172,159,136,143
Gene319,125,156,142,132,148,164
Gene320,21,27,15,15,28,29
Gene321,119,114,108,111,99,121
Gene322,123,134,144,139,152,134
Gene323,21,23,18,33,19,26
Gene324,226,213,219,199,253,221
Gene325,195,186,193,187,187,193
Gene326,75,69,80,73,80,58
Gene327,54,48,47,51,52,43
Gene328,27,29,25,24,25,26
Gene329,104,110,90,115,100,90
Gene330,150,185,154,177,167,139
Gene331,45,68,63,59,64,53
Gene332,138,121,130,135,103,128
Gene333,133,125,138,139,127,137
Gene334,79,75,68,69,79,82
Gene335,52,50,47,40,52,42
Gene336,89,90,95,86,91,92
Gene337,138,156,139,153,138,130
Gene338,45,44,52,73,55,48
Gene339,23,24,28,20,29,39
Gene340,33,39,32,34,42,25
Gene341,75,62,62,56,68,70
Gene342,28,20,30,20,19,29
Gene343,52,43,36,41,55,38
Gene344,18,14,20,14,26,20
Gene345,100,94,138,96,105,89
Gene346,88,94,97,70,84,89
Gene347,83,69,89,91,92,94
Gene348,37,37,30,25,45,43
Gene349,49,54,38,47,53,42
Gene350,31,29,34,39,34,36
Gene351,48,32,45,45,47,42
Gene352,4,1,0,0,0,2
Gene353,91,70,73,89,72,69
Gene354,124,129,121,123,136,123
Gene355,66,60,51,51,41,45
Gene356,68,58,54,56,43,55
Gene357,78,79,78,80,67,71
Gene358,41,26,32,36,38,43
Gene359,112,116,107,92,125,132
Gene360,58,55,47,55,55,52
Gene361,167,188,173,172,203,193
Gene362,22,10,19,19,13,15
Gene363,147,160,152,167,174,176
Gene364,117,121,127,113,121,120
Gene365,103,105,97,96,101,112
Gene366,172,216,182,181,193,186
Gene367,213,169,210,191,186,199
Gene368,339,339,313,311,319,296
Gene369,51,62,63,65,51,60
Gene370,22,27,25,25,22,21
Gene371,15,17,13,12,13,13
Gene372,49,57,48,63,47,48
Gene373,153,158,157,158,173,129
Gene374,30,28,33,25,25,28
Gene375,94,90,84,78,79,85
Gene376,25,28,24,33,29,31
Gene377,134,142,134,153,138,143
Gene378,46,51,42,43,49,38
Gene379,171,151,179,165,167,176
Gene380,165,157,146,147,157,141
Gene381,164,162,116,133,139,152
Gene382,98,100,91,80,101,104
Gene383,162,141,148,141,135,143
Gene384,33,49,44,32,29,43
Gene385,120,99,113,105,124,105
Gene386,297,320,295,277,325,339
Gene387,323,292,309,305,314,314
Gene388,77,87,103,105,87,86
Gene389,38,35,26,40,39,20
Gene390,222,208,225,235,251,219
Gene391,52,43,50,46,65,67
Gene392,233,221,225,227,215,210
Gene393,96,101,101,93,97,102
Gene394,87,102,87,101,114,105
Gene395,227,244,224,220,230,229
Gene396,68,84,73,70,68,94
Gene397,101,87,86,102,76,98
Gene398,67,67,79,72,71,59
Gene399,21,14,25,28,22,21
Gene400,118,139,137,138,139,157
